,Q_Learning,SARSA,SARSA_PIES
471,31.3,30.0,55.8
472,28.0,29.1,54.7
473,30.3,30.5,52.1
474,29.5,31.1,57.1
475,30.4,27.2,53.7
476,30.1,28.7,52.7
477,28.8,29.3,53.8
478,30.4,28.0,56.1
479,29.3,30.5,55.6
480,32.8,30.1,56.1
481,27.8,26.9,54.2
482,29.4,27.5,54.1
483,31.4,31.3,54.6
484,29.2,29.9,58.1
485,30.8,28.7,54.5
486,28.7,28.0,53.8
487,28.2,30.6,54.0
488,27.0,28.0,54.1
489,30.0,27.9,55.6
490,30.7,27.7,57.8
491,30.2,26.6,53.5
492,30.9,28.8,53.1
493,29.7,29.3,54.9
494,32.4,31.2,57.5
495,27.7,29.3,52.3
496,28.7,28.4,55.8
497,26.8,26.8,55.4
498,30.5,30.7,51.5
499,29.4,29.3,54.5
500,27.9,28.8,54.3
501,26.8,30.2,54.2
502,29.7,29.5,54.8
503,29.0,28.7,56.6
504,28.6,29.3,54.0
505,27.6,29.7,58.0
506,27.4,29.3,55.6
507,30.0,27.2,52.6
508,31.8,30.4,55.2
509,26.5,26.7,57.0
510,30.4,28.7,59.3
511,32.2,27.8,56.6
512,31.1,31.0,56.3
513,29.0,29.5,59.5
514,27.3,30.8,53.4
515,30.0,27.7,52.0
516,30.2,27.5,55.3
517,28.8,29.8,57.2
518,27.3,30.7,58.3
519,26.8,27.8,53.3
520,28.3,29.0,54.3
521,28.7,29.4,55.5
522,28.5,29.1,54.2
523,29.0,30.2,52.8
524,29.6,25.3,58.2
525,30.3,29.0,55.5
526,31.4,30.5,55.3
527,29.0,29.0,53.6
528,26.1,28.2,53.3
529,28.3,30.5,54.6
530,27.8,30.4,53.8
531,28.5,27.6,55.8
532,32.6,30.6,56.2
533,27.2,28.9,56.3
534,27.6,28.2,57.3
535,31.1,26.3,55.9
536,32.2,28.3,56.3
537,26.8,31.2,56.2
538,31.0,27.8,55.3
539,26.4,29.2,57.8
540,28.4,27.8,56.5
541,26.1,26.2,57.2
542,28.2,30.5,56.5
543,26.6,26.8,56.8
544,31.7,28.4,57.1
545,28.8,27.9,54.1
546,28.4,30.3,55.7
547,29.1,29.5,54.3
548,28.0,28.5,55.2
549,27.1,30.3,53.8
550,28.0,28.2,54.4
551,31.2,30.6,54.8
552,26.8,29.1,52.7
553,29.6,26.5,54.7
554,28.7,29.5,55.8
555,27.9,29.7,52.8
556,28.3,28.1,55.1
557,30.7,30.0,56.6
558,28.4,29.8,54.4
559,31.2,28.1,56.6
560,32.6,29.2,56.9
561,28.1,27.2,56.4
562,29.0,29.0,57.9
563,28.1,29.3,58.6
564,28.7,28.4,56.6
565,29.5,28.4,57.7
566,27.3,29.9,55.3
